timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1511948398010850 ,-1,-1,1,1,2,9,3,-1
1511948398017940 ,0,-3,-1,-7,4,0,-1,-1
1511948398017940 ,-2,-2,-3,-6,-6,-8,-5,-2
1511948398033430 ,-2,-1,4,19,0,-6,-2,-2
1511948398033430 ,5,-2,-5,-7,-7,4,4,1
1511948398048460 ,-10,-2,-5,-1,0,-3,-2,-3
1511948398048460 ,-1,2,0,-12,8,0,-2,0
1511948398049460 ,-2,-2,-3,10,-16,0,-1,-1
1511948398049460 ,-1,1,2,0,-5,-1,-4,-3
1511948398056980 ,1,-1,-1,2,1,1,0,0
1511948398056980 ,-3,-1,-2,-6,0,0,-2,-1
1511948398079060 ,-2,-3,-11,-36,1,-1,-1,-1
1511948398079060 ,-4,0,4,7,-2,-2,1,-1
1511948398080540 ,2,-3,0,-1,8,0,-3,0
1511948398080540 ,-2,1,-4,18,-13,-3,-2,-3
1511948398085080 ,0,-1,-8,-24,3,-4,-3,-1
1511948398085080 ,-2,0,7,-2,-12,4,-2,0
1511948398117280 ,-4,-2,0,-7,-3,-2,-2,-1
1511948398117280 ,1,-3,-8,-3,2,3,-1,0
1511948398118210 ,-2,-1,1,1,-3,2,0,-2
1511948398118210 ,-4,1,7,-6,-3,-13,-5,-2
1511948398119720 ,1,1,-1,14,14,4,-2,0
1511948398119720 ,-3,-2,-8,6,8,-4,0,-1
1511948398122790 ,-2,1,4,-3,-10,-4,0,-1
1511948398122790 ,-2,-4,-2,-12,-1,-2,-3,0
1511948398137790 ,-1,0,-3,1,-10,-3,-4,-2
1511948398137790 ,-4,-8,-10,-13,0,7,-1,-2
1511948398145350 ,-1,-2,-9,14,5,-2,2,-2
1511948398145350 ,0,2,7,9,-1,-5,-4,-2
1511948398160830 ,-1,-2,6,-3,0,-6,-1,-2
1511948398160830 ,-4,2,2,3,-5,-8,-4,-1
1511948398161840 ,-2,-6,-3,-8,-3,-4,-4,-2
1511948398161840 ,-1,-4,-17,-6,2,3,0,-1
1511948398176870 ,-2,-5,-9,1,-4,6,-1,-3
1511948398176870 ,-1,-3,5,-9,-13,-1,-1,-3
1511948398182880 ,6,2,6,9,12,6,0,-1
1511948398182880 ,-4,-1,-3,-6,-2,-18,-4,-1
1511948398214090 ,-3,-3,-2,-9,2,5,-2,-1
1511948398214090 ,-1,0,1,7,-12,10,2,-3
1511948398215100 ,1,-1,8,-8,-7,-9,-1,-3
1511948398215100 ,-1,-1,-20,2,5,1,0,1
1511948398220110 ,-3,-3,-3,-9,-4,-10,-4,-2
1511948398220110 ,2,-2,-5,2,6,0,-1,-1
1511948398227660 ,-5,0,1,-15,1,1,-2,-2
1511948398227660 ,0,-1,2,12,-17,2,-1,-2
1511948398236650 ,-3,-3,2,1,15,2,0,0
1511948398236650 ,0,0,9,-3,-4,-12,-3,0
1511948398242700 ,-2,2,-5,12,0,-2,-3,-2
1511948398242700 ,-2,-2,0,-15,0,0,5,0
1511948398257710 ,1,0,1,8,-7,-1,-3,-2
1511948398257710 ,-2,-1,-6,-1,4,-5,-1,-1
1511948398265240 ,-5,0,10,1,0,3,-2,-2
1511948398265240 ,-1,-3,2,4,-1,-3,-3,-2
1511948398289290 ,-2,2,-10,-23,-6,3,0,-1
1511948398289290 ,0,-5,-4,20,4,1,0,-1
1511948398289800 ,-3,-6,-5,-7,-5,-2,0,-3
1511948398289800 ,-1,-1,16,5,5,-8,-3,-2
1511948398313360 ,-1,1,6,4,-6,1,-1,-2
1511948398313360 ,0,1,-7,-8,-2,-7,-2,-3
1511948398313860 ,-3,-2,-8,-4,1,-1,0,0
1511948398313860 ,-1,0,0,-1,-2,2,-1,0
1511948398325890 ,-2,0,3,-2,-4,-8,-3,-1
1511948398325890 ,0,-2,-1,-8,0,4,-1,-2
1511948398326890 ,-2,-2,-4,1,-1,-2,0,0
1511948398326890 ,-1,-1,-3,-5,1,0,-3,-1
1511948398348950 ,-1,-3,-2,2,-3,-2,0,-1
1511948398348950 ,-2,0,0,1,4,1,-1,-1
1511948398357040 ,0,0,-2,-3,-14,-4,-2,-3
1511948398357040 ,-2,-2,-6,-4,-2,0,0,-1
1511948398364060 ,0,-4,-4,-2,-1,3,1,-1
1511948398364060 ,-4,-2,0,-9,1,-3,-1,-2
1511948398371010 ,-1,-1,-6,30,-1,-10,-2,-1
1511948398371010 ,1,-1,3,-14,4,-3,1,0
1511948398378040 ,0,0,-12,-7,-5,5,0,-1
1511948398378040 ,-2,-1,3,-1,-9,7,-1,-2
1511948398393570 ,-1,-3,7,-9,-5,-1,-1,-2
1511948398393570 ,-2,0,-14,3,4,3,-2,0
1511948398400590 ,-2,-1,10,11,-11,-12,-2,-1
1511948398400590 ,0,-2,-7,-10,16,4,-2,-1
1511948398407670 ,-2,0,-7,-3,2,6,0,-1
1511948398407670 ,-1,0,6,-11,-17,-7,-5,-1
1511948398423650 ,-1,-1,1,11,6,2,7,3
1511948398423650 ,0,3,16,7,-12,-7,-3,0
1511948398424660 ,-2,-7,-35,-22,-3,-3,-2,-3
1511948398424660 ,0,-5,-4,-11,-2,-3,-1,-3
1511948398437690 ,-1,-2,2,1,1,-1,-3,-1
1511948398437690 ,-1,-3,8,11,-5,-4,1,0
1511948398454230 ,-1,3,4,-5,13,3,0,-2
1511948398454230 ,-2,-1,2,0,-3,2,-1,2
1511948398460250 ,-1,-2,-3,-17,-2,-12,-2,-1
1511948398460250 ,-1,1,-9,4,-3,6,-4,-1
1511948398468340 ,0,-1,9,0,-14,-2,-1,0
1511948398468340 ,-1,0,-4,6,19,3,-1,-2
1511948398483320 ,-1,-2,6,-8,0,-2,-2,0
1511948398483320 ,-3,-3,-4,-9,0,-3,0,-1
1511948398484310 ,0,-1,2,25,2,0,0,-2
1511948398484310 ,1,3,-7,6,-9,-1,-2,-2
1511948398499350 ,-1,-6,-10,1,4,0,-5,-2
1511948398499350 ,-1,-2,-2,-8,5,-3,2,-1
1511948398505370 ,-1,0,2,-8,0,2,-2,0
1511948398505370 ,-1,1,11,8,-1,0,1,-1
1511948398521910 ,0,1,0,-1,1,-6,-2,-2
1511948398521910 ,-1,-4,-20,6,-10,-5,-5,-2
1511948398528500 ,0,-1,10,7,3,2,-1,-2
1511948398528500 ,-2,-1,3,-5,-2,-2,0,0
1511948398543470 ,-2,-6,-16,-16,-4,3,2,0
1511948398543470 ,-1,0,-1,4,-4,-4,0,-1
1511948398544470 ,-1,0,-2,-20,2,-1,-3,-2
1511948398544470 ,-2,0,2,8,-5,-3,-2,-2
1511948398566040 ,-1,-2,3,13,-1,2,0,0
1511948398566040 ,-2,0,4,5,-1,4,0,-2
1511948398566530 ,-1,-4,-8,-12,11,-7,-4,1
1511948398566530 ,-2,-1,0,-4,-4,1,0,0
1511948398589170 ,-1,-1,-7,3,-8,-4,-3,-2
1511948398589170 ,-2,0,4,-13,0,-3,-4,-1
1511948398590090 ,-2,-6,0,9,2,2,0,-1
1511948398590090 ,-1,-2,-2,3,3,-2,-1,-2
1511948398604130 ,-2,-1,-3,-4,-4,-2,-2,-1
1511948398604130 ,-1,-2,-1,-5,-3,0,-1,0
1511948398604630 ,-1,2,17,-2,0,-3,-1,-2
1511948398604630 ,0,-2,-9,5,0,0,-4,-1
1511948398625690 ,-3,0,-1,-4,-1,0,-3,0
1511948398625690 ,-1,-3,0,-3,-12,-11,-2,-1
1511948398626690 ,-1,-1,-15,8,9,1,-1,-1
1511948398626690 ,1,-1,-7,-28,-2,-2,0,-1
1511948398641730 ,-1,2,3,8,-1,1,-2,-2
1511948398641730 ,-2,-7,3,-9,2,4,1,-2
1511948398648760 ,-2,1,-8,20,2,0,0,0
1511948398648760 ,-1,-2,3,-18,-14,-13,-3,0
1511948398671860 ,0,-3,-20,-4,-5,7,0,0
1511948398671860 ,0,3,5,14,10,-1,0,-3
1511948398672310 ,-2,0,3,-15,-6,3,2,-1
1511948398672310 ,-4,-4,-5,-2,0,0,-2,-2
1511948398677850 ,-2,0,10,4,-4,-6,-2,-1
1511948398677850 ,-1,-1,-10,12,-4,-6,-3,-1
1511948398685400 ,-1,-4,-6,-2,-4,2,-2,-1
1511948398685400 ,-2,-6,1,15,-4,5,-1,-3
1511948398701890 ,0,1,4,6,5,-4,0,-1
1511948398701890 ,-2,-1,-4,-14,5,2,-2,-2
1511948398708440 ,-1,4,1,-9,-2,-4,-1,-1
1511948398708440 ,-2,1,-5,-4,-6,-2,1,0
1511948398723450 ,0,-4,5,8,-3,-1,-2,-2
1511948398723450 ,-2,0,15,5,9,1,0,-1
